歌手名字,薛之谦
417859631,我好像在哪见过你 - (电影《精灵王座》主题曲)
32507038,演员
557583281,哑巴
471385043,暧昧
27890306,意外
415792881,刚刚好
1294910785,最好
32192436,绅士
27955653,你还要我怎样
557581967,肆无忌惮
516657051,像风一样
468517654,动物世界
27955654,其实
574921549,怪咖
27955658,方圆几里 - (微电影《最熟悉的陌生人》主题曲)
571340283,那是你离开了北京的生活
27808044,丑八怪
35528482,一半
169185,认真的雪
515803379,别
474567044,我害怕
525241230,狐狸 - (电影《二代妖精之今生有幸》推广曲)
466122271,高尚
518894283,骆驼
27955656,有没有
553543014,摩天大楼
32507039,下雨了
412902689,初学者
27955652,等我回家
169137,我知道你都知道 - (电视剧《胜女的代价》插曲)
33071053,为了遇见你
429450375,来日方长 - (电影《我不是潘金莲》方圆版推广曲)
169140,几个你 - (电视剧《胜女的代价》插曲)
520458481,背过手
517571371,渡
35288183,小孩
443277013,火星人来过
421160838,花儿和少年
169152,未完成的歌
418603445,重返十七岁(新版) - (《我去上学啦》第二季主题曲)
169142,伏笔
27955655,我想起你了
169198,传说
169144,我终于成了别人的女人
27955651,潮流季
169188,爱我的人 谢谢你
26600199,我们爱过就好 - (电影《音乐江湖》主题曲)
421148955,Stay Here
169216,梦开始的原点
169200,深深爱过你(前世)
歌手名字,陈奕迅
551816010,我们 - (电影《后来的我们》主题曲)
25906124,不要说话
65528,淘汰
65533,红玫瑰
28563317,阴天快乐
65538,好久不见
65766,富士山下
28481818,可以了
65536,爱情转移 - (电影《爱情呼叫转移》主题曲)
64093,孤独患者
28481103,你给我听好
64634,一丝不挂
65800,最佳损友
66282,浮夸
64317,因为爱情 - (电影《将爱情进行到底》主题曲)
27867449,倾城
25730757,稳稳的幸福 - (电影《越来越好之村晚》主题曲)
1300423074,可一可再
64293,苦瓜
574908698,渐渐
64126,内疚
64797,于心有愧
65923,人来人往 (Live)
65761,白玫瑰
64922,落花流水
64443,约定(Live)
64048,完
64561,单车(Live) - live
66285,葡萄成熟时
25638273,梦想天空分外蓝
186331,最冷一天
64833,沙龙
27483204,斯德哥尔摩情人
35403523,陪你度过漫长岁月 - (电影《陪安东尼度过漫长岁月》主题曲)
438801672,让我留在你身边 - (电影《摆渡人》爱情版主题曲)
65758,裙下之臣
64638,陀飞轮
27483203,失忆蝴蝶
31877628,十年(Live)
64625,无人之境
65312,明年今日 - 2007 Live
67572,婚礼的祝福
65769,不如不见
66272,夕阳无限好
5251209,承诺(香港版)
1318630444,破坏王
36539010,Sleep Alone - (电影《陪安东尼度过漫长岁月》英文主题曲)
437802725,四季
64699,心的距离
66265,阿牛
歌手名字,林俊杰
108138,那些你很冒险的梦
108478,醉赤壁 - (网游《赤壁Online》主题曲)
554242032,飞云之下
29814898,可惜没如果 - (If Only…)
108251,当你
37196629,不为谁而作的歌
108242,她说
108914,江南
108493,我还想她
25727803,修炼爱情
108485,Always Online
108245,爱笑的眼睛
108418,背对背拥抱
108468,小酒窝
34040694,期待你的爱 - (电视剧《最佳前男友》片头曲)
108931,美人鱼
108503,期待爱
108134,学不会
108269,记得
108886,一千年以后
108248,只对你有感觉
108463,不潮不用花钱
108795,曹操
29850685,生生 - (The Beacon)
29848657,手心的蔷薇 - (Beautiful)
25794009,裂缝中的阳光
108910,豆浆油条
108543,杀手
247579,被风吹过的夏天 - (电视剧《最佳前男友》插曲)
25794008,黑暗骑士
108263,心墙
108254,一眼万年
108265,我很想爱他
108806,原来
108428,爱不会绝迹 - (动画片《恐龙宝贝》主题曲)
40147554,关键词
108401,第几个一百天
108965,冻结
108136,故事细腻
108792,只对你说 (莎朗嘿唷)
108858,编号89757
108950,就是我
108827,你要的不是我 - (电视剧《爱情闯进门》插曲)
25794013,以后要做的事
108260,握不住的他
108864,突然累了
25729074,因你而在
108983,会有那么一天
108154,Love U U - (电影《夏日乐悠悠》主题曲)
108445,表达爱
歌手名字,林宥嘉
108390,说谎
562594267,成全
108179,浪费
108224,突然想起你(Live)
432509483,全世界谁倾听你  - (电影《从你的全世界路过》插曲)
108557,残酷月光
108194,傻子
417833029,天真有邪
108393,心酸
108281,想自由
350651,我爱的人
5247677,"背影 - (电视剧《斗牛, 要不要》插曲)"
